19057,21945,89832
19200,22245,92450
18250,20646,98261
17936,20351,102240
17570,20060,101926
17605,20401,101430
17963,20766,102982
17255,21337,104362
17389,21264,105220
16897,20618,106331
17189,20873,108468
16846,20997,108598
17044,20638,109045
16701,20743,108385
16374,19938,105979
15896,18688,102350
16209,16277,96548
16648,16544,94019
16862,16786,91264
17565,18111,89581
17303,19506,87905
18095,21757,84243
18317,25915,80010
18607,27288,77718
19022,26858,77124
19091,26621,76088
19539,26609,74803
20458,26114,74436
20473,25767,74342
21110,25956,75113
21577,25677,73529
22398,25380,73175
22845,25252,74310
